"","ResponseID","ResponseSet","Name","ExternalDataReference","EmailAddress","Status","StartDate","EndDate","Finished","Intro","Place","ID","Nationality","Age","Sex","English_native","Fluency_1","Fluency_2","Speak_eng","Native_lang","Other_lang","Thanks","Descript","Timing_descript_1","Timing_descript_2","Timing_descript_3","Timing_descript_4","Descript_online","Timing_descript_onli_1","Timing_descript_onli_2","Timing_descript_onli_3","Timing_descript_onli_4","Fragment","Timing_fragment_1","Timing_fragment_2","Timing_fragment_3","Timing_fragment_4","Test_1","Test_2","Start_exp_MPI","Start_Exp_Online","partID","variable","value","trialNumber","setNum","context","question","responsePhoneme","responseType","answer","blockName","lastAnswer","contextSample","responseSample","ESource","context.sex","response.sex","response.firstO"
"1","R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,"","",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,"1","IN_24",1,1,24,"IN","None","none","none","No","Block1","No","IN 24","none","Lab","F","F","a"
"2","R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,"","",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,"1","IN_4_8",1,2,8,"IN","oNonQ","other","other","No","Block1","No","IN 8","other 8","Lab","M","F","i"
"3","R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,"","",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,"1","ST_3_18",1,3,18,"ST","whNonQ","wh","other","No","Block1","No","ST 18","wh 18","Lab","F","F","w"
"4","R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,"","",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,"1","ST_1_21",2,4,21,"ST","whQ","wh","Q","Yes","Block1","No","ST 21","wh 21","Lab","F","F","w"
"5","R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,"","",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,"1","ST_3_3",2,5,3,"ST","whNonQ","wh","other","Yes","Block1","Yes","ST 3","wh 3","Lab","F","F","w"
"6","R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,"","",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,"1","ST_4_19",2,6,19,"ST","oNonQ","other","other","Yes","Block1","Yes","ST 19","other 19","Lab","M","M","b"
"7","R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,"","",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,"1","ST_4_4",2,7,4,"ST","oNonQ","other","other","Yes","Block1","Yes","ST 4","other 4","Lab","F","F","a"
"8","R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,"","",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,"1","ST_3_8",1,8,8,"ST","whNonQ","wh","other","No","Block1","Yes","ST 8","wh 8","Lab","M","F","w"
"9","R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,"","",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,"1","IN_2_21",1,9,21,"IN","oQ","other","Q","No","Block1","No","IN 21","other 21","Lab","F","F","y"
"10","R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,"","",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,"1","ST_4_24",1,10,24,"ST","oNonQ","other","other","No","Block1","No","ST 24","other 24","Lab","F","F","a"
"11","R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,"","",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,"1","ST_2_22",2,11,22,"ST","oQ","other","Q","Yes","Block1","No","ST 22","other 22","Lab","F","M","s"
"12","R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,"","",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,"1","IN_3_2",1,12,2,"IN","whNonQ","wh","other","No","Block1","Yes","IN 2","wh 2","Lab","M","F","w"
"13","R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,"","",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,"1","IN_2_11",1,13,11,"IN","oQ","other","Q","No","Block1","No","IN 11","other 11","Lab","M","M","a"
"14","R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,"","",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,"1","ST_20",2,14,20,"ST","None","none","none","Yes","Block1","No","ST 20","none","Lab","M","F","a"
"15","R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,"","",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,"1","IN_1_5",2,15,5,"IN","whQ","wh","Q","Yes","Block1","Yes","IN 5","wh 5","Lab","M","M","w"
"16","R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,"","",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,"1","ST_1_16",2,16,16,"ST","whQ","wh","Q","Yes","Block1","Yes","ST 16","wh 16","Lab","M","F","w"
"17","R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,"","",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,"1","IN_4_18",1,17,18,"IN","oNonQ","other","other","No","Block1","Yes","IN 18","other 18","Lab","F","F","d"
"18","R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,"","",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,"1","ST_1_6",1,18,6,"ST","whQ","wh","Q","No","Block1","No","ST 6","wh 6","Lab","M","M","w"
"19","R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,"","",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,"1","IN_4_13",1,19,13,"IN","oNonQ","other","other","No","Block1","No","IN 13","other 13","Lab","M","M","a"
"20","R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,"","",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,"1","IN_4_23",1,20,23,"IN","oNonQ","other","other","No","Block1","No","IN 23","other 23","Lab","M","M","t"
"21","R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,"","",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,"1","IN_3_22",1,21,22,"IN","whNonQ","wh","other","No","Block1","No","IN 22","wh 22","Lab","F","M","w"
"22","R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,"","",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,"1","ST_15",2,22,15,"ST","None","none","none","Yes","Block1","No","ST 15","none","Lab","F","F","a"
"23","R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,"","",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,"1","IN_2_16",1,23,16,"IN","oQ","other","Q","No","Block1","Yes","IN 16","other 16","Lab","M","F","a"
"24","R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,"","",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,"1","ST_10",1,24,10,"ST","None","none","none","No","Block1","No","ST 10","none","Lab","F","F","a"
"25","R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,"","",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,"1","ST_25",2,25,25,"ST","None","none","none","Yes","Block1","No","ST 25","none","Lab","M","F","a"
"26","R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,"","",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,"1","ST_3_23",2,26,23,"ST","whNonQ","wh","other","Yes","Block1","Yes","ST 23","wh 23","Lab","M","M","w"
